Header,Type,Required,Description
LabourForceID,numeric,false,AVETMISS Labour force status identifier. For valid values see the AVETMISS documentation
MainLanguageID,numeric,false,AVETMISS Main language other than English spoken at home identifier as a valid 4-digit SACC code. For a list of codes, please refer to NCVER website www.ncver.edu.au
EnglishProficiencyID,numeric,false,AVETMISS Proficiency in spoken English. For valid values see the AVETMISS documentation
EnglishAssistanceFlag,boolean,false,A T/F flag to indicate whether English assistance is required
HighestSchoolLevelID,numeric,false,AVETMISS highest school level completed identifier. For valid values see the AVETMISS documentation
HighestSchoolLevelYear,numeric,false,The year the highest school level was completed. Must be a valid year no later than the current year
AtSchoolFlag,boolean,false,A T/F AVETMISS flag to indicate whether the contact is currently at secondary school
AtSchoolName,string,false,The name of the contact's current secondary school
PriorEducationStatus,boolean,false,A T/F AVETMISS flag to indicate whether a contact has successfully completed some post-secondary education
PriorEducationIDs,string,false,A comma delimited list of AVETMISS prior educational achievement identifiers to indicate prior higher education. For valid values see the AVETMISS documentation. The Victorian AVETMISS field Prior Educational Achievement Recognition Identifier may be appended (e.g. 420A)
DisabilityFlag,boolean,false,A T/F AVETMISS flag to indicate whether the contact considers themselves to have a disability, impairment or long-term condition
DisabilityTypeIDs,list,false,A comma delimited list of AVETMISS disability type identifiers. For valid values see the AVETMISS documentation
IndigenousStatusID,numeric,false,AVETMISS indigenous status identifier to indicates a contact who self-identifies as being of Australian Aboriginal or Torres Strait Islander descent. For valid values see the AVETMISS documentation
ANZSCOCode,string,false,Australian and New Zealand Standard Classification of Occupations (ANZSCO), ABS catalogue no.1220.0, 2009. The major group of this code is used for the Victorian AVETMISS field Client Occupation Identifier (left most digit)
ANZSICCode,string,false,Australian and New Zealand Standard Industrial Classification (ANZSIC), ABS catalogue no.1292.0, 2006. The division of this code is used for the Victorian AVETMISS field Client Industry of Employment (see ABS catalogue)
employerContactID,numeric,false,The ContactID of the Contact Record who is the Employer of this Contact.
payerContactID,numeric,false,The ContactID of the Contact Record who is the Payer of this Contact.
supervisorContactID,numeric,false,The ContactID of the Contact Record who is the Supervisor of this Contact.
agentContactID,numeric,false,The ContactID of the Contact Record who is the Agent for this Contact.
coachContactID,numeric,false,The ContactID of the Contact Record who is the Coach for this Contact.
internationalContactID,numeric,false,The ContactID of the Contact Record who is the International Contact for this Contact (CRICOS).
optionalID,string,false,An optional identifier to use for this Contact record.
categoryIDs,list,false,A list of valid category IDs. (adds to Contact ONLY)
customField_[variableName],string,false,Replace [variableName] with the actual customField variable name to set a customField value against the contact.
